quote_number,quote_revision,quote_status,quote_due_date,quote_created,item_id,part_number,revision,description,quantity,unit_price,total_price,lead_time,material,process,is_fully_configured,part_uuid,export_controlled
7467,,expired,2025-04-21T17:00:00+00:00,2025-04-08T18:11:21.347019+00:00,6859458,,,,,,,,,,,,True
7467,,expired,2025-04-21T17:00:00+00:00,2025-04-08T18:11:21.347019+00:00,6859500,,,,,,,,,,,,True
7467,,expired,2025-04-21T17:00:00+00:00,2025-04-08T18:11:21.347019+00:00,6859463,,,,,,,,,,,,True
7468,,expired,2025-04-14T17:00:00+00:00,2025-04-08T18:25:18.391872+00:00,6859704,,,,,,,,,,,,False
7469,,expired,2025-04-17T17:00:00+00:00,2025-04-08T18:45:11.269071+00:00,6860169,,,,,,,,,,,,True
7470,,trash,2025-04-11T20:29:14.597646+00:00,2025-04-08T20:29:14.612172+00:00,6862250,,,,,,,,,,,,False
7470,,trash,2025-04-11T20:29:14.597646+00:00,2025-04-08T20:29:14.612172+00:00,6862306,,,,,,,,,,,,False
7470,,trash,2025-04-11T20:29:14.597646+00:00,2025-04-08T20:29:14.612172+00:00,6862307,,,,,,,,,,,,False
7470,,trash,2025-04-11T20:29:14.597646+00:00,2025-04-08T20:29:14.612172+00:00,6862308,,,,,,,,,,,,False
7471,,outstanding,2025-04-12T16:06:49.758778+00:00,2025-04-09T16:06:49.771351+00:00,7146138,,,,,,,,,,,,False
7472,,expired,2025-04-18T17:00:00+00:00,2025-04-09T16:40:48.806993+00:00,6953589,,,,,,,,,,,,True
7472,,expired,2025-04-18T17:00:00+00:00,2025-04-09T16:40:48.806993+00:00,6953669,,,,,,,,,,,,True
7473,,expired,2025-04-18T17:00:00+00:00,2025-04-09T16:52:40.891998+00:00,6869684,,,,,,,,,,,,True
7474,,accepted,2025-04-18T17:00:00+00:00,2025-04-09T16:59:49.372556+00:00,6869805,,,,,,,,,,,,True
7475,,expired,2025-04-29T17:00:00+00:00,2025-04-09T17:08:38.873164+00:00,6869932,,,,,,,,,,,,True
7476,,expired,2025-04-21T17:00:00+00:00,2025-04-09T17:11:57.359966+00:00,6870032,,,,,,,,,,,,True
